condition,symptoms
bipolar disorder,"depressive or psychotic symptoms,delusions or hallucinations,obsessions and compulsions"
marijuana abuse,"anxiety and nervousness,depressive or psychotic symptoms,abusing alcohol,drug abuse,excessive anger,delusions or hallucinations,temper problems,fears and phobias"
cataract,"diminished vision,abnormal movement of eyelid,lacrimation,itchiness of eye"
anal fistula,"blood in stool,mass in scrotum,rectal bleeding"
vaginal cyst,"sharp abdominal pain,pain during pregnancy,pelvic pain,problems during pregnancy,spotting or bleeding during pregnancy,blood clots during menstrual periods,heavy menstrual flow"
noninfectious gastroenteritis,"sharp abdominal pain,headache,nausea,burning abdominal pain,decreased appetite,fever,rectal bleeding"
idiopathic irregular menstrual cycle,"sharp abdominal pain,lower abdominal pain,intermenstrual bleeding,long menstrual periods,heavy menstrual flow,painful menstruation"
hemangioma,"skin swelling,lip swelling,abnormal appearing skin,skin moles,irregular appearing nails,skin dryness, peeling, scaliness, or roughness"
vaginitis,"vaginal itching,lower abdominal pain,vaginal discharge,pain during pregnancy,vaginal redness"
prostatitis,"retention of urine,back pain,chills"
sick sinus syndrome,"shortness of breath,decreased heart rate,increased heart rate"
ischemic heart disease,"shortness of breath,dizziness,peripheral edema,difficulty breathing,lymphedema"
persistent vomiting of unknown cause,"abnormal involuntary movements,sharp abdominal pain,vomiting,diarrhea"
eating disorder,"anxiety and nervousness,depressive or psychotic symptoms,insomnia,decreased appetite"
yeast infection,"sharp abdominal pain,vaginal itching,frequent urination,diaper rash"
cornea infection,"lip swelling,diminished vision,pain in eye,eye redness,lacrimation,itchiness of eye,swollen eye"
kidney stone,"vomiting,frequent urination,low back pain"
envenomation from spider or animal bite,"skin swelling,abnormal appearing skin,paresthesia,allergic reaction"
rectal disorder,"sharp abdominal pain,burning abdominal pain,heartburn,cramps and spasms,melena,rectal bleeding,constipation,itching of the anus"
social phobia,"depressive or psychotic symptoms,insomnia,abusing alcohol,excessive appetite,excessive anger"
thrombophlebitis,"skin swelling,arm pain,arm swelling,leg swelling,lymphedema,skin on leg or foot looks infected"
trichomonas infection,"sharp abdominal pain,vomiting,nausea,vaginal itching,lower abdominal pain,vaginal discharge,pain during pregnancy"
problem during pregnancy,"nausea,pain during pregnancy,pelvic pain,problems during pregnancy,spotting or bleeding during pregnancy,cramps and spasms"
lipoma,"groin mass,abnormal appearing skin,skin lesion,bones are painful,shoulder lump or mass,arm lump or mass"
hypovolemia,"fainting,sharp abdominal pain,nausea"
idiopathic painful menstruation,"sharp abdominal pain,lower abdominal pain,cramps and spasms,heavy menstrual flow,painful menstruation"
hepatitis due to a toxin,"depression,jaundice,sharp abdominal pain,vomiting,rectal bleeding,itching of skin"
anxiety,"shortness of breath,depressive or psychotic symptoms,palpitations,irregular heartbeat,fears and phobias"
scleroderma,"feeling ill,lip swelling,skin lesion,skin dryness, peeling, scaliness, or roughness,skin irritation"
urethral disorder,"retention of urine,suprapubic pain,abusing alcohol,sharp abdominal pain,vomiting,side pain"
open wound of the mouth,"lip swelling,toothache,mouth ulcer,peripheral edema,tongue lesions,seizures"
oral thrush (yeast infection),"sore throat,cough,irritable infant,mouth ulcer,tongue lesions,skin rash,mouth pain"
gastrointestinal hemorrhage,"dizziness,blood in stool,sharp abdominal pain,vomiting,nausea,diarrhea,vomiting blood,weakness,changes in stool appearance,melena"
psychotic disorder,"anxiety and nervousness,depression,depressive or psychotic symptoms,insomnia,abusing alcohol,hostile behavior,temper problems,hysterical behavior"
ankylosing spondylitis,"leg pain,back pain,low back pain,elbow pain,paresthesia"
marijuana abuse,"depression,difficulty speaking,abusing alcohol,hostile behavior,drug abuse"
irritable bowel syndrome,"anxiety and nervousness,insomnia,flatulence,sharp abdominal pain,nausea,diarrhea,burning abdominal pain"
hyperkalemia,"depressive or psychotic symptoms,sharp chest pain,dizziness,difficulty in swallowing,decreased heart rate"
acute respiratory distress syndrome (ards),"chest tightness,difficulty breathing"
tracheitis,"shortness of breath,cough,nasal congestion"
hypertensive heart disease,"shortness of breath,chest tightness,leg swelling,heartburn,weakness,difficulty breathing"
vulvodynia,"painful urination,lower abdominal pain,back pain,pain during pregnancy,pelvic pain,burning abdominal pain,vaginal pain,side pain"
complex regional pain syndrome,"abnormal involuntary movements,leg pain,hand or finger pain,neck pain,foot or toe pain,problems with movement,loss of sensation,paresthesia"
chronic otitis media,"cough,nasal congestion,fever,allergic reaction,redness in ear,painful sinuses"
threatened pregnancy,"sharp abdominal pain,lower abdominal pain,vaginal discharge,problems during pregnancy,spotting or bleeding during pregnancy,cramps and spasms"
diabetic retinopathy,"abnormal movement of eyelid,lacrimation,itchiness of eye"
chronic pain disorder,"leg pain,hip pain,sharp abdominal pain,headache,pelvic pain,shoulder pain"
gum disease,"lip swelling,peripheral edema,ear pain,bleeding gums"
degenerative disc disease,"hip pain,arm pain,back pain,paresthesia,shoulder pain,joint pain"
cholecystitis,"sharp chest pain,sharp abdominal pain,vomiting,nausea,back pain,upper abdominal pain,stomach bloating,symptoms of the kidneys"
personality disorder,"depressive or psychotic symptoms,insomnia,drug abuse,excessive anger,delusions or hallucinations,temper problems,fears and phobias"
strep throat,"sore throat,nasal congestion,difficulty in swallowing,ear pain,decreased appetite,ache all over"
lewy body dementia,"depressive or psychotic symptoms,hostile behavior,delusions or hallucinations"
macular degeneration,"diminished vision,foreign body sensation in eye,itchiness of eye"
oral thrush (yeast infection),"nasal congestion,irritable infant,mouth ulcer,constipation,mouth pain"
salivary gland disorder,"sore throat,cough,throat feels tight"
pulmonary congestion,"sharp chest pain,chest tightness,nasal congestion,decreased heart rate,fever"
orbital cellulitis,"diminished hearing,fever"
common cold,"nasal congestion,vomiting,wheezing,chills,flu-like syndrome"
croup,"hoarse voice,nasal congestion,vomiting,wheezing,fever,pulling at ears"
chronic pain disorder,"leg pain,sharp abdominal pain,headache,low back pain,pelvic pain,knee pain,shoulder pain"
stroke,"depressive or psychotic symptoms,dizziness,headache,problems with movement,focal weakness,disturbance of memory"
shingles (herpes zoster),"sharp chest pain,skin lesion,facial pain,back pain,itching of skin"
orbital cellulitis,"diminished hearing,pain in eye,peripheral edema,fever,swollen eye"
corneal disorder,"diminished vision,double vision,foreign body sensation in eye,spots or clouds in vision,lacrimation,itchiness of eye"
pain after an operation,"sharp chest pain,sharp abdominal pain,vomiting,lower abdominal pain,low back pain,side pain"
allergy,"cough,skin swelling,peripheral edema,fluid retention"
actinic keratosis,"abnormal appearing skin,irregular appearing scalp,symptoms of the face,skin dryness, peeling, scaliness, or roughness,skin irritation"
appendicitis,"diarrhea,lower abdominal pain,burning abdominal pain,decreased appetite,stomach bloating"
cornea infection,"diminished vision,symptoms of eye,spots or clouds in vision,lacrimation,itchiness of eye,eye burns or stings"
injury to the face,"diminished hearing,headache,facial pain,neck pain,ear pain,neck stiffness or tightness,bleeding from ear,mouth pain"
acute sinusitis,"sore throat,cough,nasal congestion,facial pain,ear pain,sinus congestion"
corneal disorder,"white discharge from eye,diminished vision,double vision,symptoms of eye,foreign body sensation in eye,eye redness,lacrimation"
trichomonas infection,"vomiting,vaginal itching,lower abdominal pain,pain during pregnancy"
breast infection (mastitis),"skin growth,mouth dryness,fever,chills,postpartum problems of the breast"
vaginal yeast infection,"suprapubic pain,sharp abdominal pain,vaginal itching,vaginal pain,vulvar irritation"
temporary or benign blood in urine,"suprapubic pain,sharp abdominal pain,painful urination,frequent urination,lower abdominal pain,back pain,regurgitation,regurgitation.1"
carpal tunnel syndrome,"wrist swelling,hand or finger stiffness or tightness,neck pain,elbow pain,loss of sensation,paresthesia"
sprain or strain,"headache,hand or finger pain,wrist pain,arm pain,back pain,low back pain,foot or toe pain,ankle pain"
esophagitis,"shortness of breath,sharp chest pain,sore throat,cough,difficulty in swallowing,burning abdominal pain,heartburn"
sciatica,"leg pain,lower body pain,back cramps or spasms"
chronic pancreatitis,"sharp abdominal pain,vomiting,nausea,diarrhea"
acute stress reaction,"anxiety and nervousness,sharp chest pain,insomnia,abnormal involuntary movements,headache,fatigue"
angina,"shortness of breath,dizziness,hot flashes,arm pain,lower body pain,sweating"
seasonal allergies (hay fever),"sore throat,nasal congestion,ear pain,frontal headache,lacrimation,allergic reaction,sneezing"
acute otitis media,"nasal congestion,diminished hearing,fluid in ear,coryza,redness in ear"
white blood cell disease,"cough,sharp abdominal pain,diarrhea,fatigue"
hypertensive heart disease,"sharp chest pain,chest tightness,palpitations,weakness,difficulty breathing"
hyperemesis gravidarum,"sharp abdominal pain,vomiting,headache,nausea,pain during pregnancy,vomiting blood,burning abdominal pain"
diverticulitis,"sharp abdominal pain,nausea,burning abdominal pain,fever,upper abdominal pain,constipation"
vaginal yeast infection,"suprapubic pain,sharp abdominal pain,vaginal itching,lower abdominal pain,vaginal discharge,vaginal redness,vulvar irritation,itching of skin"
panic disorder,"depression,depressive or psychotic symptoms,chest tightness,palpitations"
corneal abrasion,"white discharge from eye,diminished vision,symptoms of eye,pain in eye,eye redness,eyelid swelling"
urethral stricture,"retention of urine,symptoms of the scrotum and testes,blood in urine,symptoms of prostate"
peritonsillar abscess,"throat swelling,swollen lymph nodes,ear pain"
intracerebral hemorrhage,"vomiting,nausea,diminished vision,weakness,blindness,focal weakness,seizures"
chalazion,"diminished vision,symptoms of eye,mass on eyelid,swollen eye,eyelid swelling"
acne,"abnormal appearing skin,acne or pimples,skin growth,irregular appearing scalp,skin moles,long menstrual periods"
gastrointestinal hemorrhage,"blood in stool,nausea,diarrhea,vomiting blood,weakness,melena"
orthostatic hypotension,"dizziness,abnormal involuntary movements,irregular heartbeat,fainting,feeling ill"
acute stress reaction,"depression,depressive or psychotic symptoms,sharp chest pain,dizziness,headache,burning abdominal pain,fatigue"
cystitis,"retention of urine,suprapubic pain,sharp abdominal pain,involuntary urination,blood in urine,pelvic pain,side pain,symptoms of bladder"
diabetic peripheral neuropathy,"loss of sensation,paresthesia,lymphedema,foot or toe stiffness or tightness"
idiopathic irregular menstrual cycle,"sharp abdominal pain,lower abdominal pain,cramps and spasms,long menstrual periods,infertility"
abdominal hernia,"groin mass,symptoms of the scrotum and testes,sharp abdominal pain,lower abdominal pain,regurgitation,upper abdominal pain,regurgitation.1,irregular belly button"
noninfectious gastroenteritis,"blood in stool,diarrhea,decreased appetite,chills,fluid retention"
fracture of the shoulder,"arm pain,neck swelling,shoulder stiffness or tightness"
onychomycosis,"skin swelling,skin growth,skin dryness, peeling, scaliness, or roughness,skin rash"
fracture of the skull,"depressive or psychotic symptoms,drug abuse,vomiting,headache"
acute pancreatitis,"sharp chest pain,abusing alcohol,vomiting,diarrhea,side pain,lower body pain,upper abdominal pain"
fracture of the leg,"leg pain,hip pain,knee weakness,knee swelling,leg swelling,leg stiffness or tightness,ankle swelling"
oral leukoplakia,"skin swelling,tongue lesions"
breast infection (mastitis),"abnormal appearing skin,skin growth,mouth dryness,bleeding or discharge from nipple,lump or mass of breast,postpartum problems of the breast"
fungal infection of the hair,"skin swelling,skin lesion,irregular appearing scalp,skin rash"
schizophrenia,"hostile behavior,excessive anger,delusions or hallucinations,temper problems,fears and phobias,low self-esteem,hysterical behavior"
cholecystitis,"sharp abdominal pain,vomiting,burning abdominal pain,stomach bloating,regurgitation.1"
pain disorder affecting the neck,"insomnia,headache,low back pain,disturbance of memory"
spontaneous abortion,"intermenstrual bleeding,pain during pregnancy,pelvic pain,problems during pregnancy,spotting or bleeding during pregnancy,blood clots during menstrual periods,uterine contractions,heavy menstrual flow"
panic disorder,"depression,depressive or psychotic symptoms,chest tightness,breathing fast"
cardiac arrest,"shortness of breath,sharp chest pain,palpitations,irregular heartbeat,arm swelling,weakness"
personality disorder,"insomnia,drug abuse,excessive anger,delusions or hallucinations,temper problems,fears and phobias"
ear drum damage,"cough,diminished hearing,pus draining from ear,ear pain,ringing in ear,plugged feeling in ear,fluid in ear"
foreign body in the ear,"throat feels tight,fluid in ear"
mucositis,"sore throat,difficulty in swallowing,irritable infant,decreased appetite,fever,tongue lesions,mouth pain"
complex regional pain syndrome,"abnormal involuntary movements,back pain,neck pain,low back pain,foot or toe pain,problems with movement,ache all over"
lymphedema,"throat swelling,abnormal appearing skin,skin lesion,peripheral edema,leg swelling,lymphedema"
liver disease,"shortness of breath,sharp abdominal pain,diarrhea,peripheral edema,weakness,side pain,unusual color or odor to urine"
conjunctivitis,"sore throat,nasal congestion,fever,coryza,swollen eye"
chronic back pain,"hip pain,back pain,lower body pain,back cramps or spasms"
seasonal allergies (hay fever),"sore throat,cough,headache,ear pain,frontal headache,lacrimation,itchiness of eye,coryza"
hiatal hernia,"dizziness,difficulty in swallowing,back pain,regurgitation,burning abdominal pain,heartburn,regurgitation.1"
cystitis,"painful urination,involuntary urination,frequent urination,blood in urine,back pain,symptoms of bladder"
trichomonas infection,"vomiting,nausea,vaginal itching,lower abdominal pain,vaginal discharge,pain during pregnancy,unpredictable menstruation"
intestinal obstruction,"vaginal itching,pain of the anus,burning abdominal pain,constipation"
gastroesophageal reflux disease (gerd),"chest tightness,hoarse voice,difficulty in swallowing,sharp abdominal pain,burning abdominal pain"
angina,"shortness of breath,sharp chest pain,palpitations,irregular heartbeat,hot flashes,lower body pain,sweating"
chronic obstructive pulmonary disease (copd),"shortness of breath,sharp chest pain,coughing up sputum,congestion in chest"
foreign body in the nose,"nasal congestion,regurgitation.1"
acute pancreatitis,"sharp chest pain,abusing alcohol,sharp abdominal pain,back pain,hemoptysis"
asperger syndrome,"anxiety and nervousness,depression,depressive or psychotic symptoms,lack of growth,hostile behavior,excessive anger"
open wound of the foot,"skin lesion,foot or toe swelling,irregular appearing nails"
herniated disk,"hip pain,arm pain,low back pain,loss of sensation,paresthesia,shoulder pain"
obstructive sleep apnea (osa),"difficulty in swallowing,mouth dryness,weight gain,fatigue,apnea,abnormal breathing sounds"
fracture of the skull,"depressive or psychotic symptoms,drug abuse,vomiting"
injury to internal organ,"sharp chest pain,retention of urine,frequent urination"
abdominal hernia,"groin mass,lower abdominal pain,ache all over,swollen abdomen,irregular belly button"
dry eye of unknown cause,"white discharge from eye,diminished vision,abnormal movement of eyelid,eye redness"
concussion,"dizziness,neck pain,rib pain,sleepiness"
seborrheic dermatitis,"skin lesion,acne or pimples,irregular appearing scalp,symptoms of the face,itching of skin"
diaper rash,"cough,vomiting,diarrhea,temper problems,pulling at ears,diaper rash"
chronic obstructive pulmonary disease (copd),"shortness of breath,sharp chest pain,chest tightness,sore throat,fever"
tooth abscess,"skin swelling,toothache,facial pain,jaw swelling,neck swelling,pain in gums"
acute pancreatitis,"sharp chest pain,abusing alcohol,sharp abdominal pain,diarrhea,burning abdominal pain,lower body pain,hemoptysis"
liver cancer,"groin mass,sharp abdominal pain,stomach bloating"
diverticulitis,"sharp abdominal pain,vomiting,diarrhea,lower abdominal pain,side pain,chills"
chronic otitis media,"cough,ear pain,fluid in ear,fever,allergic reaction"
ankylosing spondylitis,"back pain,elbow pain,paresthesia"
drug abuse (methamphetamine),"anxiety and nervousness,depressive or psychotic symptoms,hostile behavior,feeling ill"
trigeminal neuralgia,"dizziness,abnormal involuntary movements,toothache"
marijuana abuse,"depressive or psychotic symptoms,hostile behavior,excessive anger,delusions or hallucinations,temper problems,fears and phobias,low self-esteem"
pneumonia,"shortness of breath,sharp chest pain,cough,nasal congestion,difficulty breathing,coryza"
pain after an operation,"sharp abdominal pain,vomiting,headache,nausea,lower abdominal pain,back pain,low back pain,side pain"
mononeuritis,"leg pain,wrist pain,foot or toe pain,ankle pain,hand or finger weakness"
otitis media,"nasal congestion,diminished hearing,ear pain,plugged feeling in ear,fluid in ear"
stye,"skin swelling,abnormal appearing skin,symptoms of eye,swollen eye,eyelid lesion or rash"
sinus bradycardia,"sharp chest pain,dizziness,chest tightness,palpitations,feeling ill,weakness,increased heart rate"
rheumatoid arthritis,"wrist swelling,peripheral edema,knee pain,joint pain,joint swelling"
tinnitus of unknown cause,"dizziness,hoarse voice,diminished hearing,headache,ringing in ear"
heat exhaustion,"shortness of breath,sharp chest pain,dizziness,fainting,vomiting,weakness,fluid retention"
seasonal allergies (hay fever),"nasal congestion,lacrimation,itchiness of eye,allergic reaction"
uterine fibroids,"sharp abdominal pain,involuntary urination,lower abdominal pain,pelvic pain,cramps and spasms"
corneal disorder,"white discharge from eye,symptoms of eye,pain in eye,foreign body sensation in eye,eye redness,lacrimation"
osteoporosis,"bones are painful,disturbance of memory,leg cramps or spasms,joint pain,early or late onset of menopause"
pain disorder affecting the neck,"dizziness,insomnia,headache,low back pain,neck stiffness or tightness"
food allergy,"vomiting,hand or finger swelling,lip swelling,allergic reaction,skin rash"
gastritis,"vomiting,headache,vomiting blood,burning abdominal pain,regurgitation.1"
cystitis,"retention of urine,suprapubic pain,sharp abdominal pain,involuntary urination,frequent urination"
tendinitis,"leg pain,hand or finger pain,hand or finger swelling,arm pain,foot or toe pain,shoulder pain"
pyogenic skin infection,"skin swelling,leg pain,hand or finger swelling,peripheral edema,foot or toe pain,leg swelling"
angina,"shortness of breath,sharp chest pain,chest tightness,palpitations,irregular heartbeat,hot flashes,arm pain,increased heart rate,lower body pain,sweating"
acute bronchiolitis,"shortness of breath,cough,irritable infant,vomiting,decreased appetite,fever,hurts to breath"
retinal detachment,"diminished vision,double vision,pain in eye,spots or clouds in vision,lacrimation,itchiness of eye"
obsessive compulsive disorder (ocd),"depression,depressive or psychotic symptoms,lack of growth,feeling ill,temper problems,low self-esteem"
muscle spasm,"sharp chest pain,leg pain,arm pain,low back pain,loss of sensation"
conjunctivitis due to allergy,"diminished vision,symptoms of eye,pain in eye,lacrimation,itchiness of eye,eye burns or stings,swollen eye"
scar,"skin swelling,lip swelling,skin lesion,skin moles"
stress incontinence,"painful urination,intermenstrual bleeding"
chronic otitis media,"nasal congestion,ear pain,fluid in ear,painful sinuses"
post-traumatic stress disorder (ptsd),"depression,abusing alcohol,hostile behavior,drug abuse,excessive anger,delusions or hallucinations"
plantar fasciitis,"knee pain,muscle pain,ankle swelling"
drug abuse (cocaine),"abusing alcohol,hostile behavior,delusions or hallucinations"
eustachian tube dysfunction (ear disorder),"dizziness,plugged feeling in ear,allergic reaction,abnormal breathing sounds,redness in ear,swollen or red tonsils"
fracture of the pelvis,"difficulty speaking,ache all over,groin pain"
ganglion cyst,"hand or finger pain,skin growth,knee pain,hand or finger lump or mass,wrist lump or mass"
infectious gastroenteritis,"blood in stool,sharp abdominal pain,vomiting,headache,nausea,burning abdominal pain,decreased appetite,chills"
herniated disk,"neck pain,low back pain,arm weakness,leg weakness"
hyperemesis gravidarum,"sharp abdominal pain,vomiting,headache,pain during pregnancy,vomiting blood"
tendinitis,"hip pain,knee pain"
spondylolisthesis,"back pain,loss of sensation,leg cramps or spasms,leg weakness"
food allergy,"cough,vomiting,hand or finger swelling,lip swelling"
idiopathic absence of menstruation,"nausea,pelvic pain,long menstrual periods"
acute stress reaction,"anxiety and nervousness,depression,shortness of breath,depressive or psychotic symptoms,dizziness,headache,fatigue"
acute stress reaction,"depression,depressive or psychotic symptoms,sharp chest pain,insomnia,abnormal involuntary movements,fatigue"
cirrhosis,"shortness of breath,blood in stool,sharp abdominal pain,vomiting blood,regurgitation,upper abdominal pain,abdominal distention,regurgitation.1"
narcolepsy,"insomnia,headache,disturbance of memory,fatigue,apnea"
hypovolemia,"fainting,sharp abdominal pain,feeling ill,vomiting,nausea,diarrhea,decreased appetite,fever"
nasal polyp,"hoarse voice,cough,nasal congestion,headache,frontal headache,allergic reaction,painful sinuses"
balanitis,"cough,suprapubic pain,itching of skin,skin rash,penis redness"
panic attack,"anxiety and nervousness,shortness of breath,chest tightness,weakness,loss of sensation"
de quervain disease,wrist pain
injury to the arm,"hand or finger pain,wrist swelling,bones are painful,elbow pain,elbow swelling"
problem during pregnancy,"sharp abdominal pain,vomiting,headache,pain during pregnancy,pelvic pain,problems during pregnancy,cramps and spasms"
polymyalgia rheumatica,"sharp chest pain,irregular heartbeat,difficulty in swallowing,shoulder pain"
aspergillosis,"shortness of breath,knee lump or mass"
diabetic peripheral neuropathy,"leg pain,foot or toe pain,foot or toe swelling,lymphedema,foot or toe stiffness or tightness"
vulvar disorder,"vaginal itching,pain during intercourse,vulvar irritation"
ischemic heart disease,"dizziness,chest tightness,muscle pain,difficulty breathing,fatigue"
tracheitis,"shortness of breath,hoarse voice,sore throat,cough,nasal congestion,sneezing"
trichomonas infection,"vomiting,vaginal itching,lower abdominal pain,vaginal discharge,pain during pregnancy"
smoking or tobacco addiction,"shortness of breath,sharp chest pain,abusing alcohol,smoking problems,excessive anger,coughing up sputum"
idiopathic absence of menstruation,"vaginal itching,heartburn,absence of menstruation"
heart failure,"shortness of breath,cough,weight gain,leg swelling,weakness,difficulty breathing,hurts to breath"
ear drum damage,"cough,plugged feeling in ear,fluid in ear,pulling at ears"
carbon monoxide poisoning,"depressive or psychotic symptoms,emotional symptoms,headache,nausea"
neuralgia,"leg pain,hip pain,headache,arm pain,neck pain,low back pain"
angina,"chest tightness,palpitations,irregular heartbeat,hot flashes,arm pain,increased heart rate"
transient ischemic attack,"depressive or psychotic symptoms,headache,focal weakness,symptoms of the face,disturbance of memory"
pulmonary congestion,"chest tightness,cough,nasal congestion,leg swelling,decreased heart rate"
pancreatic cancer,"jaundice,sharp abdominal pain,nausea,diarrhea,ache all over,stomach bloating"
multiple sclerosis,"dizziness,headache,problems with movement,weakness,loss of sensation,leg weakness"
itching of unknown cause,"abnormal appearing skin,itchy scalp,skin rash"
chronic otitis media,"cough,plugged feeling in ear,fluid in ear,fever,allergic reaction,pulling at ears,redness in ear"
injury to the leg,"knee pain,ankle pain,knee stiffness or tightness,leg swelling,irregular appearing nails,ankle swelling"
cerebral edema,"dizziness,vomiting,arm pain,neck pain"
delirium,"depression,difficulty speaking,hostile behavior,problems with movement,focal weakness,slurring words"
threatened pregnancy,"lower abdominal pain,back pain,pelvic pain,spotting or bleeding during pregnancy"
anxiety,"anxiety and nervousness,depressive or psychotic symptoms,insomnia,abnormal involuntary movements,irregular heartbeat,fears and phobias"
pancreatic cancer,"nausea,diarrhea,arm swelling,ache all over,stomach bloating"
marijuana abuse,"depressive or psychotic symptoms,difficulty speaking,hostile behavior,delusions or hallucinations,temper problems"
labyrinthitis,"dizziness,diminished hearing,sweating"
spondylitis,"back pain,neck pain,low back pain,side pain,lower body pain,stiffness all over,back mass or lump"
chronic knee pain,"back pain,knee pain,knee weakness,knee stiffness or tightness,leg swelling,joint pain"
scarlet fever,"throat swelling,skin swelling,fever"
fungal infection of the skin,"skin swelling,skin lesion,acne or pimples,itching of skin,skin dryness, peeling, scaliness, or roughness,too little hair,skin rash"
retinopathy due to high blood pressure,"pus draining from ear,diminished vision,symptoms of eye"
personality disorder,"depression,delusions or hallucinations,temper problems,low self-esteem"
substance-related mental disorder,"anxiety and nervousness,depressive or psychotic symptoms,insomnia,hostile behavior,drug abuse"
idiopathic excessive menstruation,"sharp abdominal pain,blood clots during menstrual periods,heavy menstrual flow,unpredictable menstruation,frequent menstruation"
chronic sinusitis,"cough,facial pain,fever,congestion in chest,painful sinuses"
cervicitis,"sharp abdominal pain,nausea,vaginal itching,painful urination,vaginal discharge,pelvic pain"
cholecystitis,"sharp abdominal pain,nausea,burning abdominal pain,lower body pain,regurgitation.1,symptoms of the kidneys"
spondylosis,"leg pain,arm pain,shoulder pain,lower body pain"
spondylolisthesis,"back pain,low back pain,paresthesia"
paroxysmal supraventricular tachycardia,"shortness of breath,sharp chest pain,dizziness,involuntary urination,increased heart rate"
hiatal hernia,"difficulty in swallowing,sharp abdominal pain,burning abdominal pain,heartburn"
acute bronchiolitis,"cough,nasal congestion,irritable infant,vomiting,wheezing,fever,difficulty breathing,hurts to breath"
complex regional pain syndrome,"abnormal involuntary movements,leg pain,arm pain,back pain,foot or toe pain,problems with movement,loss of sensation,ache all over"
fungal infection of the hair,"skin swelling,abnormal appearing skin,acne or pimples,skin growth,pelvic pain,itching of skin,skin dryness, peeling, scaliness, or roughness,itchy scalp"
atrial fibrillation,"shortness of breath,palpitations,irregular heartbeat,decreased heart rate,increased heart rate"
impulse control disorder,"anxiety and nervousness,depression,depressive or psychotic symptoms,excessive appetite,excessive anger,delusions or hallucinations"
athlete's foot,"skin lesion,irregular appearing nails,skin dryness, peeling, scaliness, or roughness"
drug abuse (methamphetamine),"anxiety and nervousness,depressive or psychotic symptoms,palpitations,hostile behavior,drug abuse,feeling ill"
pyelonephritis,"sharp abdominal pain,frequent urination,lower abdominal pain,blood in urine,low back pain"
abdominal hernia,"symptoms of the scrotum and testes,sharp abdominal pain,ache all over,upper abdominal pain,swollen abdomen,irregular belly button"
iron deficiency anemia,"dizziness,blood in stool,intermenstrual bleeding,regurgitation,weight gain,fatigue,regurgitation.1,rectal bleeding,heavy menstrual flow"
kidney stone,"retention of urine,sharp abdominal pain,painful urination,lower abdominal pain,blood in urine,back pain"
hyponatremia,"sharp chest pain,sharp abdominal pain,vomiting,back pain,weakness,seizures"
conversion disorder,"anxiety and nervousness,depression,cough,seizures"
schizophrenia,"anxiety and nervousness,depression,depressive or psychotic symptoms,insomnia,excessive anger,delusions or hallucinations,temper problems,hysterical behavior"
actinic keratosis,"abnormal appearing skin,skin growth,irregular appearing scalp,skin moles,itching of skin,skin dryness, peeling, scaliness, or roughness,skin irritation"
pyelonephritis,"nausea,painful urination,frequent urination,blood in urine"
uterine atony,"lower abdominal pain,blood in urine,intermenstrual bleeding,problems during pregnancy,spotting or bleeding during pregnancy,uterine contractions,back cramps or spasms"
balanitis,"suprapubic pain,itching of skin"
gum disease,"lip swelling,toothache,facial pain,ear pain,fever,gum pain,bleeding gums,pain in gums"
benign paroxysmal positional vertical (bppv),"irregular heartbeat,vomiting,headache,nausea,problems with movement,weakness,frontal headache"
impetigo,"cough,nasal congestion,skin swelling,skin lesion,fever,sore in nose"
seasonal allergies (hay fever),"sore throat,cough,nasal congestion,headache,frontal headache,allergic reaction"
lymphoma,"hoarse voice,groin mass,regurgitation,neck mass,itchy ear(s),regurgitation.1"
spondylosis,"leg pain,low back pain,loss of sensation,paresthesia,shoulder pain"
common cold,"sore throat,nasal congestion,vomiting,headache,chills"
male genitalia infection,"pain in testicles,mass in scrotum,irritable infant,abnormal appearing skin"
drug reaction,"dizziness,headache,abnormal appearing skin,peripheral edema,allergic reaction,skin rash"
glaucoma,"foreign body sensation in eye,eye redness,lacrimation,itchiness of eye,itchy eyelid"
attention deficit hyperactivity disorder (adhd),"depression,depressive or psychotic symptoms,lack of growth,drug abuse,antisocial behavior"
cranial nerve palsy,"difficulty speaking,headache,facial pain,abnormal movement of eyelid"
galactorrhea of unknown cause,"anxiety and nervousness,bleeding or discharge from nipple"
urinary tract obstruction,"suprapubic pain,painful urination,frequent urination,back pain,excessive urination at night"
pneumonia,"shortness of breath,sharp chest pain,sore throat,cough,nasal congestion,vomiting,wheezing,weakness,fever,difficulty breathing,chills"
dermatitis due to sun exposure,"skin swelling,lack of growth,acne or pimples,irregular appearing scalp,skin moles,skin dryness, peeling, scaliness, or roughness"
cranial nerve palsy,"headache,facial pain,diminished vision,double vision,abnormal movement of eyelid,symptoms of the face"
fracture of the rib,"sharp chest pain,ache all over,rib pain,hurts to breath"
uterine fibroids,"sharp abdominal pain,involuntary urination,lower abdominal pain,pelvic pain,unpredictable menstruation,painful menstruation"
ear wax impaction,"cough,diminished hearing,fluid in ear,fever,pulling at ears,sinus congestion"
chronic otitis media,"ear pain,allergic reaction,pulling at ears,painful sinuses"
pelvic organ prolapse,"involuntary urination,frequent urination,blood in urine,intermenstrual bleeding"
postpartum depression,"anxiety and nervousness,depression,depressive or psychotic symptoms,drug abuse,intermenstrual bleeding,problems during pregnancy,delusions or hallucinations"
brachial neuritis,"headache,back pain,low back pain,loss of sensation,shoulder pain,hand or finger weakness"
lymphangitis,"arm pain,neck swelling"
